Identifiant;Nom;Catégorie;Année;Adresse;Lieu;Lien;Géolocalisation
16;Erdre;Composteur en résidence - copropriété;2010;13 allée de l'erdre / Rentrer par 4 rue du Château;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/erdre;47.20631899905218, -1.5161410001042461
31;Ecole Jules d'Herbauges;Composteur Pédagogique en établissement scolaire;2011;avenue de la presqu'île du Dun (près de la place Amani);Saint-Aignan-Grandlieu;https://pom-e.compostri.fr/composteur/ecole-jules-dherbauges;47.12127599884413, -1.6375029994116521
60;Les Anglais;Composteur en résidence - copropriété;2012;boulevard des anglais;Nantes;https://pom-e.compostri.fr/composteur/les-anglais;47.22799129894611, -1.579953199963061
67;Clos Toreau;Composteur ouvert au quartier;2013;Rue d'Hendaye;Nantes;https://pom-e.compostri.fr/composteur/clos-toreau;47.19563399911179, -1.528563000143211
74;Ecole Georges Brassens;Composteur Pédagogique en établissement scolaire;2013;83 rue des Renards;Nantes;https://pom-e.compostri.fr/composteur/ecole-georges-brassens;47.26216899923627, -1.5708670002072016
102;Jardin du Douet;Jardin;2014;105 route de Clisson;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/jardin-du-douet;47.19103499878805, -1.5212219997713234
111;Résidence Ralliement;Composteur en résidence - copropriété;2014;7 place du ralliement;Nantes;https://pom-e.compostri.fr/composteur/residence-ralliement;47.22264229940401, -1.5294613998790645
160;Colombier;Composteur en résidence - copropriété;2017;6 rue de la Contrie;Nantes;https://pom-e.compostri.fr/composteur/colombier;47.221602998831884, -1.5934729996186316
167;Les Aqueducs;Composteur en résidence - copropriété;2017;20 rue des 6 Aqueducs;Nantes;https://pom-e.compostri.fr/composteur/les-aqueducs;47.21547259889123, -1.594356600638073
168;Ecole Henri Bergson;Composteur Pédagogique en établissement scolaire;2017;5 Rue de Madrid;Nantes;https://pom-e.compostri.fr/composteur/ecole-henri-bergson;47.213915998988526, -1.5278380002475973
172;Les Lacs;Composteur en résidence - copropriété;2017;Avenue de la Close;Nantes;https://pom-e.compostri.fr/composteur/les-lacs;47.24193399870368, -1.5764260005052468
180;Croix Jeannette;Composteur ouvert au quartier;2017;Place de la Croix Jeannette;Bouguenais;https://pom-e.compostri.fr/composteur/croix-jeannette;47.17259199883913, -1.620848999924767
183;Compost'île;Composteur ouvert au quartier;2017;10 Rue de l'Île Mabon, 44200 Nantes;Nantes;https://pom-e.compostri.fr/composteur/compostile;47.20690599910179, -1.5592240004427402
186;Ecole Louise Michel;Composteur Pédagogique en établissement scolaire;2018;rue Paul Ramadier;Nantes;https://pom-e.compostri.fr/composteur/ecole-louise-michel;47.20559689895985, -1.5318641995475113
194;Les Muguets;Composteur en résidence - copropriété;2018;38 rue de la Patouillerie;Nantes;https://pom-e.compostri.fr/composteur/les-muguets;47.241320999373116, -1.5819129998111439
204;Le Chêne Creux;Composteur ouvert au quartier;2018;24 rue Jean Baptiste et Henri Tendron;Rezé;https://pom-e.compostri.fr/composteur/le-chene-creux;47.17429199927921, -1.5476409999521974
207;Maisdon Pajot;Composteur en résidence - copropriété;2018;47-39 rue Maisdon Pajot;Nantes;https://pom-e.compostri.fr/composteur/maisdon-pajot;47.217633998770914, -1.585266000090462
208;Moulin Lambert - Le jardin des Dord'Oignons;Composteur ouvert au quartier;2018;13 rue de la Dordogne;Nantes;https://pom-e.compostri.fr/composteur/moulin-lambert-le-jardin-des-dordoignons;47.20813399895621, -1.602211999581309
211;Place Similien Guérin;Composteur ouvert au quartier;2018;Place Similien Guérin;La Montagne;https://pom-e.compostri.fr/composteur/place-similien-guerin;47.18783099938092, -1.6837500004962394
220;Olympe de Gouges;Composteur ouvert au quartier;2018;11, rue Olympe de gouge;Rezé;https://pom-e.compostri.fr/composteur/olympe-de-gouges;47.16730299926493, -1.5454610004363853
222;Compo'Stappen;Composteur ouvert au quartier;2018;rue Van der Stappen;Nantes;https://pom-e.compostri.fr/composteur/compostappen;47.2066509990207, -1.58086499936166
229;Folies de l'Erdre;Composteur en résidence - copropriété;2019;4 Chemin de l’Eraudière;Nantes;https://pom-e.compostri.fr/composteur/folies-de-lerdre;47.247647999498106, -1.5396579998947546
236;Richer;Composteur en résidence - copropriété;2019;6 rue Richer;Nantes;https://pom-e.compostri.fr/composteur/richer;47.212839998646075, -1.5764740005597015
244;Plessis Tison;Composteur ouvert au quartier;2019;Parc du Plessis Tison (entrée bd des Belges);Nantes;https://pom-e.compostri.fr/composteur/plessis-tison;47.23422899868823, -1.5359529998333628
248;Bagatelle 2;Composteur ouvert au quartier;2019;Aire de jeux pour enfants Bagatelle;Saint-Herblain;https://pom-e.compostri.fr/composteur/bagatelle-2;47.24400399889146, -1.6178470003234704
267;Les Clochettes;Composteur en résidence - copropriété;2020;2 impasse des Clochettes;Basse-Goulaine;https://pom-e.compostri.fr/composteur/les-clochettes;47.197042999298006, -1.4539600006476283
268;Jardin de RAPI;Composteur ouvert au quartier;2020;3 Rue de l'Hérault;Nantes;https://pom-e.compostri.fr/composteur/jardin-de-rapi;47.205883999280914, -1.602813000579855
274;Folie Porterie;Composteur en résidence - copropriété;2020;17 rue Barbara;Nantes;https://pom-e.compostri.fr/composteur/folie-porterie;47.27110999883367, -1.5204589997628128
278;Les Hauts de la Baugerie;Composteur en résidence - copropriété;2020;31 ter rue de la Baugerie;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/les-hauts-de-la-baugerie;47.20519799866045, -1.5176039998123025
280;Jaguère;Composteur ouvert au quartier;2020;Accès rue de l'aérodrome/café-hotel La Terasse;Rezé;https://pom-e.compostri.fr/composteur/jaguere;47.17502299931802, -1.565288000367473
289;Les Roches;Composteur en résidence - copropriété;2020;Avenue Agrippa d'Aubigné;Nantes;https://pom-e.compostri.fr/composteur/les-roches;47.2464899992488, -1.5745059996891542
294;Place de Village Le Jardin Ordinaire;Composteur ouvert au quartier;2021;Square des Combattants d'Afrique du Nord;Nantes;https://pom-e.compostri.fr/composteur/place-de-village-le-jardin-ordinaire;47.209312999194466, -1.5707239997026121
302;Square Daviais;Composteur ouvert au quartier;2021;Square Jean-Baptiste Daviais;Nantes;https://pom-e.compostri.fr/composteur/square-daviais;47.21164599934591, -1.558078999755795
309;Prairie aux Ducs;Composteur ouvert au quartier;2021;rue Nadine Gordimer;Nantes;https://pom-e.compostri.fr/composteur/prairie-aux-ducs;47.20418399934461, -1.569149999518525
314;Les Tribunes;Composteur en résidence - copropriété;2021;49 Boulevard des Tribunes;Nantes;https://pom-e.compostri.fr/composteur/les-tribunes;47.24980899938355, -1.5696770001044589
333;Le Landreau;Composteur ouvert au quartier;2021;5 rue du Landreau;Orvault;https://pom-e.compostri.fr/composteur/le-landreau;47.272209998804115, -1.6302650005447903
335;Jardins du Jamet;Composteur ouvert au quartier;;19 rue du Jamet;Nantes;https://pom-e.compostri.fr/composteur/jardins-du-jamet;47.207318999456824, -1.6061040001214484
340;Herseville;Composteur en résidence - copropriété;2021;58 rue Mauvoisins;Nantes;https://pom-e.compostri.fr/composteur/herseville;47.189390721237864, -1.5306156140352825
341;La Filée;Composteur en résidence - copropriété;2021;222 route de Vertou;Nantes;https://pom-e.compostri.fr/composteur/la-filee;47.18289699945126, -1.5216930003066889
346;Zellige;Composteur en résidence - copropriété;2021;65-67-69 Bd de la Prairie aux Ducs;Nantes;https://pom-e.compostri.fr/composteur/zellige;47.20396599907817, -1.5651919993908678
348;Le Roxane;Composteur en résidence - copropriété;2021;27 rue Jean Émile Labeur;Nantes;https://pom-e.compostri.fr/composteur/le-roxane;47.22526199905075, -1.5521680003844134
361;Les Lavandes;Composteur ouvert au quartier;2022;17 rue des Lavandes;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/les-lavandes;47.2619159992915, -1.4851909997670127
371;My Home;Composteur en résidence - copropriété;2022;104 rue du Corps de Garde;Nantes;https://pom-e.compostri.fr/composteur/my-home;47.21693399883578, -1.5991370005275691
374;Petite Ferme Urbaine;Composteur ouvert au quartier;2023;16 rue de l'Orne;Saint-Herblain;https://pom-e.compostri.fr/composteur/petite-ferme-urbaine;47.21412599892664, -1.6122489993565563
